field_name,phi_category,hipaa_identifier_number,data_model,table_name,column_name,encrypted_at_rest,encrypted_in_transit,access_control,retention_days,de_identification_method
patient_name,Name,1,KGNode,kg_nodes,label,yes,yes,patients:read,2555,remove
patient_name_properties,Name,1,KGNode,kg_nodes,properties->fhir_id,yes,yes,patients:read,2555,remove
user_name,Name,1,User,users,name,yes,yes,admin:manage_users,2555,remove
user_email,Email Address,6,User,users,email,yes,yes,admin:manage_users,2555,remove
fhir_patient_name,Name,1,StructuredResource,structured_resources,payload->name,yes,yes,patients:read,2555,remove
fhir_patient_address,Geographic Data,2,StructuredResource,structured_resources,payload->address,yes,yes,patients:read,2555,truncate_zip_3
fhir_patient_address_line,Geographic Data,2,StructuredResource,structured_resources,payload->address->line,yes,yes,patients:read,2555,remove
fhir_patient_address_city,Geographic Data,2,StructuredResource,structured_resources,payload->address->city,yes,yes,patients:read,2555,remove
fhir_patient_address_state,Geographic Data,2,StructuredResource,structured_resources,payload->address->state,yes,yes,patients:read,2555,remove
fhir_patient_address_zip,Geographic Data,2,StructuredResource,structured_resources,payload->address->postalCode,yes,yes,patients:read,2555,truncate_zip_3
birth_date,Dates,3,KGNode,kg_nodes,properties->birth_date,yes,yes,patients:read,2555,generalize_to_year
fhir_patient_birth_date,Dates,3,StructuredResource,structured_resources,payload->birthDate,yes,yes,patients:read,2555,generalize_to_year
clinical_fact_start_date,Dates,3,ClinicalFact,clinical_facts,start_date,yes,yes,patients:read,2555,date_shift
clinical_fact_end_date,Dates,3,ClinicalFact,clinical_facts,end_date,yes,yes,patients:read,2555,date_shift
kg_edge_event_date,Dates,3,KGEdge,kg_edges,event_date,yes,yes,patients:read,2555,date_shift
kg_edge_valid_from,Dates,3,KGEdge,kg_edges,valid_from,yes,yes,patients:read,2555,date_shift
kg_edge_valid_to,Dates,3,KGEdge,kg_edges,valid_to,yes,yes,patients:read,2555,date_shift
kg_edge_recorded_at,Dates,3,KGEdge,kg_edges,recorded_at,yes,yes,patients:read,2555,date_shift
kg_edge_source_document_date,Dates,3,KGEdge,kg_edges,source_document_date,yes,yes,patients:read,2555,date_shift
enrollment_screening_date,Dates,3,TrialEnrollment,trial_enrollments,screening_date,yes,yes,patients:read,5475,date_shift
enrollment_enrollment_date,Dates,3,TrialEnrollment,trial_enrollments,enrollment_date,yes,yes,patients:read,5475,date_shift
